Run,Library Name,Sample Name
SRR11205858,SCA_838,SCA_838
SRR11205859,SCA_837,SCA_837
SRR11205860,SCA_836,SCA_836
SRR11205861,SCA_835,SCA_835
SRR11205862,BRZ_1290,BRZ_1290
SRR11205863,SCA_834,SCA_834
SRR11205864,SCA_1243,SCA_1243
SRR11205865,MRT_1308,MRT_1308
SRR11205866,MRT_1307,MRT_1307
SRR11205867,MRT_1306,MRT_1306
SRR11205868,MRT_1305,MRT_1305
SRR11205869,MRT_1304,MRT_1304
SRR11205870,MRT_1303,MRT_1303
SRR11205871,BRZ_1269,BRZ_1269
SRR11205872,MRT_1302,MRT_1302
SRR11205873,MRT_1301,MRT_1301
SRR11205874,MRT_1300,MRT_1300
SRR11205875,MRT_1299,MRT_1299
SRR11205876,MRT_1298,MRT_1298
SRR11205877,MRT_1297,MRT_1297
SRR11205878,MRT_1296,MRT_1296
SRR11205879,MRT_1295,MRT_1295
SRR11205880,MRT_1294,MRT_1294
SRR11205881,MRT_1293,MRT_1293
SRR11205882,BRZ_1268,BRZ_1268
SRR11205883,MRT_1292,MRT_1292
SRR11205884,MRT_1291,MRT_1291
SRR11205885,LA_1433,LA_1433
SRR11205886,LA_1432,LA_1432
SRR11205887,LA_1431,LA_1431
SRR11205888,LA_1430,LA_1430
SRR11205889,LA_1429,LA_1429
SRR11205890,LA_1428,LA_1428
SRR11205891,LA_1427,LA_1427
SRR11205892,LA_1426,LA_1426
SRR11205893,BRZ_1267,BRZ_1267
SRR11205894,KEY_1417,KEY_1417
SRR11205895,KEY_1416,KEY_1416
SRR11205896,KEY_1415,KEY_1415
SRR11205897,KEY_1192,KEY_1192
SRR11205898,KEY_1191,KEY_1191
SRR11205899,KEY_1190,KEY_1190
SRR11205900,KEY_1189,KEY_1189
SRR11205901,KEY_1188,KEY_1188
SRR11205902,KEY_1187,KEY_1187
SRR11205903,KEY_1186,KEY_1186
SRR11205904,BRZ_1262,BRZ_1262
SRR11205905,KEY_1185,KEY_1185
SRR11205906,KEY_1184,KEY_1184
SRR11205907,KEY_1183,KEY_1183
SRR11205908,KEY_1182,KEY_1182
SRR11205909,KEY_1181,KEY_1181
SRR11205910,KEY_1180,KEY_1180
SRR11205911,KEY_1179,KEY_1179
SRR11205912,KEY_1178,KEY_1178
SRR11205913,KEY_1177,KEY_1177
SRR11205914,KEY_1176,KEY_1176
SRR11205915,BRZ_1261,BRZ_1261
SRR11205916,KEY_1175,KEY_1175
SRR11205917,KEY_1174,KEY_1174
SRR11205918,KEY_1173,KEY_1173
SRR11205919,KEY_1172,KEY_1172
SRR11205920,KEY_1171,KEY_1171
SRR11205921,KEY_1170,KEY_1170
SRR11205922,KEY_1169,KEY_1169
SRR11205923,KEY_1168,KEY_1168
SRR11205924,KEY_1167,KEY_1167
SRR11205925,KEY_1166,KEY_1166
SRR11205926,BRZ_1260,BRZ_1260
SRR11205927,KEY_1165,KEY_1165
SRR11205928,KEY_1164,KEY_1164
SRR11205929,KEY_1163,KEY_1163
SRR11205930,KEY_1162,KEY_1162
SRR11205931,KEY_1161,KEY_1161
SRR11205932,KEY_1160,KEY_1160
SRR11205933,KEY_1159,KEY_1159
SRR11205934,KEY_1158,KEY_1158
SRR11205935,KEY_1157,KEY_1157
SRR11205936,KEY_1156,KEY_1156
SRR11205937,BRZ_1259,BRZ_1259
SRR11205938,KEY_1155,KEY_1155
SRR11205939,KEY_1154,KEY_1154
SRR11205940,KEY_1153,KEY_1153
SRR11205941,KEY_1152,KEY_1152
SRR11205942,KEY_1151,KEY_1151
SRR11205943,KEY_1150,KEY_1150
SRR11205944,KEY_1149,KEY_1149
SRR11205945,KEY_1148,KEY_1148
SRR11205946,KEY_1147,KEY_1147
SRR11205947,KEY_1071,KEY_1071
SRR11205948,VZ_986,VZ_986
SRR11205949,VZ_985,VZ_985
SRR11205950,VZ_984,VZ_984
SRR11205951,VZ_983,VZ_983
SRR11205952,VZ_982,VZ_982
SRR11205953,VZ_981,VZ_981
SRR11205954,VZ_980,VZ_980
SRR11205955,VZ_709,VZ_709
SRR11205956,VZ_708,VZ_708
SRR11205957,VZ_707,VZ_707
SRR11205958,BRZ_1470,BRZ_1470
SRR11205959,VZ_706,VZ_706
SRR11205960,VZ_705,VZ_705
SRR11205961,VZ_704,VZ_704
SRR11205962,VZ_703,VZ_703
SRR11205963,VZ_702,VZ_702
SRR11205964,VZ_701,VZ_701
SRR11205965,VZ_700,VZ_700
SRR11205966,VZ_699,VZ_699
SRR11205967,VZ_698,VZ_698
SRR11205968,VZ_697,VZ_697
SRR11205969,BRZ_1469,BRZ_1469
SRR11205970,VZ_696,VZ_696
SRR11205971,VZ_695,VZ_695
SRR11205972,VZ_694,VZ_694
SRR11205973,VZ_693,VZ_693
SRR11205974,VZ_692,VZ_692
SRR11205975,VZ_691,VZ_691
SRR11205976,VZ_690,VZ_690
SRR11205977,VZ_689,VZ_689
SRR11205978,VZ_688,VZ_688
SRR11205979,VZ_687,VZ_687
SRR11205980,BRZ_1468,BRZ_1468
SRR11205981,VZ_686,VZ_686
SRR11205982,VZ_685,VZ_685
SRR11205983,VZ_684,VZ_684
SRR11205984,VZ_683,VZ_683
SRR11205985,VZ_682,VZ_682
SRR11205986,VZ_681,VZ_681
SRR11205987,VZ_680,VZ_680
SRR11205988,VZ_679,VZ_679
SRR11205989,VZ_678,VZ_678
SRR11205990,VZ_677,VZ_677
SRR11205991,BRZ_1467,BRZ_1467
SRR11205992,BRZ_1252,BRZ_1252
SRR11205993,VZ_676,VZ_676
SRR11205994,VZ_675,VZ_675
SRR11205995,VZ_674,VZ_674
SRR11205996,VZ_673,VZ_673
SRR11205997,VZ_672,VZ_672
SRR11205998,VZ_671,VZ_671
SRR11205999,VZ_670,VZ_670
SRR11206000,VZ_669,VZ_669
SRR11206001,VZ_668,VZ_668
SRR11206002,VZ_667,VZ_667
SRR11206003,BRZ_1466,BRZ_1466
SRR11206004,VZ_666,VZ_666
SRR11206005,VZ_665,VZ_665
SRR11206006,VZ_664,VZ_664
SRR11206007,VZ_663,VZ_663
SRR11206008,VZ_662,VZ_662
SRR11206009,VZ_661,VZ_661
SRR11206010,VZ_660,VZ_660
SRR11206011,VZ_1029,VZ_1029
SRR11206012,TXL_9,TXL_9
SRR11206013,TXL_8,TXL_8
SRR11206014,TXL_7,TXL_7
SRR11206015,BRZ_1462,BRZ_1462
SRR11206016,TXL_6,TXL_6
SRR11206017,TXL_64,TXL_64
SRR11206018,TXL_63,TXL_63
SRR11206019,TXL_62,TXL_62
SRR11206020,TXL_61,TXL_61
SRR11206021,TXL_60,TXL_60
SRR11206022,TXL_5,TXL_5
SRR11206023,TXL_59,TXL_59
SRR11206024,TXL_58,TXL_58
SRR11206025,TXL_57,TXL_57
SRR11206026,BRZ_1461,BRZ_1461
SRR11206027,TXL_56,TXL_56
SRR11206028,TXL_55,TXL_55
SRR11206029,TXL_54,TXL_54
SRR11206030,TXL_53,TXL_53
SRR11206031,TXL_52,TXL_52
SRR11206032,TXL_51,TXL_51
SRR11206033,TXL_50,TXL_50
SRR11206034,TXL_4,TXL_4
SRR11206035,TXL_49,TXL_49
SRR11206036,TXL_48,TXL_48
SRR11206037,BRZ_1460,BRZ_1460
SRR11206038,TXL_47,TXL_47
SRR11206039,TXL_46,TXL_46
SRR11206040,TXL_45,TXL_45
SRR11206041,TXL_44,TXL_44
SRR11206042,TXL_43,TXL_43
SRR11206043,TXL_42,TXL_42
SRR11206044,SCA_1242,SCA_1242
SRR11206045,SCA_1241,SCA_1241
SRR11206046,SCA_1240,SCA_1240
SRR11206047,SCA_1239,SCA_1239
SRR11206048,SCA_1238,SCA_1238
SRR11206049,SCA_1237,SCA_1237
SRR11206050,SCA_1236,SCA_1236
SRR11206051,SCA_1235,SCA_1235
SRR11206052,BRZ_1289,BRZ_1289
SRR11206053,SCA_1234,SCA_1234
SRR11206054,SCA_1233,SCA_1233
SRR11206055,SCA_1232,SCA_1232
SRR11206056,SCA_1231,SCA_1231
SRR11206057,SCA_1230,SCA_1230
SRR11206058,SCA_1229,SCA_1229
SRR11206059,SCA_1228,SCA_1228
SRR11206060,SCA_1227,SCA_1227
SRR11206061,SCA_1226,SCA_1226
SRR11206062,SCA_1225,SCA_1225
SRR11206063,BRZ_1288,BRZ_1288
SRR11206064,SCA_1224,SCA_1224
SRR11206065,SCA_1223,SCA_1223
SRR11206066,SCA_1222,SCA_1222
SRR11206067,SCA_1221,SCA_1221
SRR11206068,SCA_1220,SCA_1220
SRR11206069,SCA_1219,SCA_1219
SRR11206070,SCA_1218,SCA_1218
SRR11206071,SCA_1217,SCA_1217
SRR11206072,SCA_1216,SCA_1216
SRR11206073,SCA_1215,SCA_1215
SRR11206074,BRZ_1287,BRZ_1287
SRR11206075,SCA_1214,SCA_1214
SRR11206076,SCA_1213,SCA_1213
SRR11206077,SCA_1212,SCA_1212
SRR11206078,SCA_1211,SCA_1211
SRR11206079,SCA_1210,SCA_1210
SRR11206080,SCA_1209,SCA_1209
SRR11206081,SCA_1208,SCA_1208
SRR11206082,SCA_1207,SCA_1207
SRR11206083,SCA_1206,SCA_1206
SRR11206084,SCA_1205,SCA_1205
SRR11206085,BRZ_1286,BRZ_1286
SRR11206086,SCA_1204,SCA_1204
SRR11206087,SCA_1203,SCA_1203
SRR11206088,SCA_1202,SCA_1202
SRR11206089,SCA_1201,SCA_1201
SRR11206090,SCA_1200,SCA_1200
SRR11206091,SCA_1199,SCA_1199
SRR11206092,SCA_1198,SCA_1198
SRR11206093,SCA_1197,SCA_1197
SRR11206094,SCA_1196,SCA_1196
SRR11206095,SCA_1195,SCA_1195
SRR11206096,BRZ_1285,BRZ_1285
SRR11206097,BRZ_1249,BRZ_1249
SRR11206098,PR_979,PR_979
SRR11206099,PR_978,PR_978
SRR11206100,PR_977,PR_977
SRR11206101,PR_976,PR_976
SRR11206102,PR_975,PR_975
SRR11206103,PR_974,PR_974
SRR11206104,PR_973,PR_973
SRR11206105,PR_972,PR_972
SRR11206106,PR_971,PR_971
SRR11206107,PR_968,PR_968
SRR11206108,BRZ_1496,BRZ_1496
SRR11206109,BRZ_1495,BRZ_1495
SRR11206110,BRZ_1494,BRZ_1494
SRR11206111,BRZ_1493,BRZ_1493
SRR11206112,BRZ_1492,BRZ_1492
SRR11206113,BRZ_1491,BRZ_1491
SRR11206114,BRZ_1490,BRZ_1490
SRR11206115,BRZ_1489,BRZ_1489
SRR11206116,BRZ_1488,BRZ_1488
SRR11206117,TX_1099,TX_1099
SRR11206118,TX_1099_6,TX_1099_6
SRR11206119,TX_1099_5,TX_1099_5
SRR11206120,TX_1099_4,TX_1099_4
SRR11206121,TX_1099_3,TX_1099_3
SRR11206122,BRZ_1442,BRZ_1442
SRR11206123,TX_1099_1,TX_1099_1
SRR11206124,TX_1098,TX_1098
SRR11206125,TX_1098_6,TX_1098_6
SRR11206126,TX_1098_5,TX_1098_5
SRR11206127,TX_1098_4,TX_1098_4
SRR11206128,TX_1098_3,TX_1098_3
SRR11206129,TX_1098_1,TX_1098_1
SRR11206130,TX_1097,TX_1097
SRR11206131,TX_1096,TX_1096
SRR11206132,BRZ_1441,BRZ_1441
SRR11206133,SCA_933,SCA_933
SRR11206134,SCA_932,SCA_932
SRR11206135,SCA_931,SCA_931
SRR11206136,SCA_930,SCA_930
SRR11206137,SCA_929,SCA_929
SRR11206138,SCA_927,SCA_927
SRR11206139,SCA_926,SCA_926
SRR11206140,SCA_925,SCA_925
SRR11206141,SCA_924,SCA_924
SRR11206142,SCA_923,SCA_923
SRR11206143,BRZ_1440,BRZ_1440
SRR11206144,SCA_922,SCA_922
SRR11206145,SCA_921,SCA_921
SRR11206146,SCA_920,SCA_920
SRR11206147,SCA_919,SCA_919
SRR11206148,SCA_918,SCA_918
SRR11206149,PR_1039,PR_1039
SRR11206150,PR_1038,PR_1038
SRR11206151,BRZ_1278,BRZ_1278
SRR11206152,PNS_833,PNS_833
SRR11206153,PNS_832,PNS_832
SRR11206154,PNS_831,PNS_831
SRR11206155,PNS_830,PNS_830
SRR11206156,PNS_829,PNS_829
SRR11206157,PNS_828,PNS_828
SRR11206158,PNS_827,PNS_827
SRR11206159,PNS_826,PNS_826
SRR11206160,PNS_825,PNS_825
SRR11206161,PNS_824,PNS_824
SRR11206162,BRZ_1277,BRZ_1277
SRR11206163,PNS_823,PNS_823
SRR11206164,PNS_822,PNS_822
SRR11206165,PNS_821,PNS_821
SRR11206166,PNS_820,PNS_820
SRR11206167,PNS_819,PNS_819
SRR11206168,PNS_818,PNS_818
SRR11206169,PNS_817,PNS_817
SRR11206170,PNS_816,PNS_816
SRR11206171,PNS_815,PNS_815
SRR11206172,PNS_814,PNS_814
SRR11206173,BRZ_1276,BRZ_1276
SRR11206174,PNS_813,PNS_813
SRR11206175,PNS_812,PNS_812
SRR11206176,PNS_811,PNS_811
SRR11206177,PNS_810,PNS_810
SRR11206178,PNS_809,PNS_809
SRR11206179,PNS_808,PNS_808
SRR11206180,PNS_803,PNS_803
SRR11206181,BRZ_1258,BRZ_1258
SRR11206182,KEY_1070,KEY_1070
SRR11206183,KEY_1069,KEY_1069
SRR11206184,KEY_1068,KEY_1068
SRR11206185,KEY_1067,KEY_1067
SRR11206186,KEY_1066,KEY_1066
SRR11206187,KEY_1065,KEY_1065
SRR11206188,KEY_1064,KEY_1064
SRR11206189,KEY_1037,KEY_1037
SRR11206190,KEY_1036,KEY_1036
SRR11206191,KEY_1035,KEY_1035
SRR11206192,BRZ_1257,BRZ_1257
SRR11206193,KEY_1034,KEY_1034
SRR11206194,KEY_1033,KEY_1033
SRR11206195,KEY_1032,KEY_1032
SRR11206196,KEY_1031,KEY_1031
SRR11206197,KEY_1030,KEY_1030
SRR11206198,BRZ_1511,BRZ_1511
SRR11206199,BRZ_1510,BRZ_1510
SRR11206200,BRZ_1509,BRZ_1509
SRR11206201,BRZ_1508,BRZ_1508
SRR11206202,BRZ_1507,BRZ_1507
SRR11206203,BRZ_1256,BRZ_1256
SRR11206204,BRZ_1506,BRZ_1506
SRR11206205,BRZ_1505,BRZ_1505
SRR11206206,BRZ_1504,BRZ_1504
SRR11206207,BRZ_1503,BRZ_1503
SRR11206208,BRZ_1502,BRZ_1502
SRR11206209,BRZ_1501,BRZ_1501
SRR11206210,BRZ_1500,BRZ_1500
SRR11206211,BRZ_1499,BRZ_1499
SRR11206212,BRZ_1498,BRZ_1498
SRR11206213,BRZ_1497,BRZ_1497
SRR11206214,BRZ_1255,BRZ_1255
SRR11206215,BRZ_1246,BRZ_1246
SRR11206216,BRZ_1245,BRZ_1245
SRR11206217,TXL_41,TXL_41
SRR11206218,TXL_40,TXL_40
SRR11206219,TXL_3,TXL_3
SRR11206220,TXL_39,TXL_39
SRR11206221,BRZ_1459,BRZ_1459
SRR11206222,TXL_38,TXL_38
SRR11206223,TXL_37,TXL_37
SRR11206224,TXL_36,TXL_36
SRR11206225,TXL_35,TXL_35
SRR11206226,TXL_34,TXL_34
SRR11206227,TXL_33,TXL_33
SRR11206228,TXL_32,TXL_32
SRR11206229,TXL_31,TXL_31
SRR11206230,TXL_30,TXL_30
SRR11206231,TXL_2,TXL_2
SRR11206232,BRZ_1450,BRZ_1450